code,joinDate,Consumed,Eligible,Name,Consumed__1,Eligible__1,Name__1,Consumed__2,Eligible__2,Name__2,Consumed__3,Eligible__3,Name__3,Consumed__4,Eligible__4,Name__4,Consumed__5,Eligible__5,Name__5
AMEX-0004,2013-03-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0006,2013-06-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0008,2013-07-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0010,2014-05-11,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0011,2014-06-22,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0012,2014-07-15,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0013,2015-08-05,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0015,2015-08-24,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0016,2015-10-20,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0017,2014-07-06,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0018,2015-02-04,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0019,2016-07-10,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0024,2017-08-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
BP-0001,2015-03-27,0,60,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0001,2016-05-16,0,43,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0005,2016-05-08,0,32,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0012,2017-03-06,0,38,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0014,2017-03-13,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0015,2017-03-13,0,37,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0018,2017-03-21,0,37,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0019,2017-03-21,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0020,2017-04-03,0,34,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0023,2017-05-01,0,36,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
MTM-0002,2015-07-08,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
PAT-0001,2015-01-01,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0001,2016-04-10,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0003,2016-04-10,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0007,2016-04-10,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0008,2016-04-24,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0010,2016-05-01,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0011,2016-05-01,0,23,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0012,2016-05-01,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0013,2016-05-08,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0014,2016-06-14,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0016,2016-05-08,0,22,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0017,2016-05-09,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0019,2016-04-10,0,22,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0021,2016-04-10,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0024,2016-04-03,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0026,2016-05-09,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0027,2016-12-06,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0031,2017-06-18,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0033,2017-04-16,0,49,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0035,2017-06-18,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0036,2017-07-16,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0048,2017-10-29,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0049,2017-10-29,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
HCG-0002,2015-12-01,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
HCG-0006,2016-11-01,0,0,Absent,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,50,Maternity Leave,,,
HCG-0007,2016-01-03,0,0,Absent,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,50,Maternity Leave,,,
AMEX-0034,2018-02-27,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
HCG-0011,2018-03-01,0,0,Absent,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,50,Maternity Leave,,,
UDC-0056,2018-04-25,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0035,2018-05-06,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
HCG-0013,2018-05-01,0,55,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0062,2018-07-15,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0063,2018-07-16,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
HCG-0015,2018-07-21,0,57,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0065,2018-07-22,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0038,2018-08-08,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0066,2018-08-12,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0029,2018-09-03,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0068,2018-09-09,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0030,2018-09-10,0,35,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0032,2018-09-11,0,31,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0034,2018-09-13,0,35,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0042,2018-09-09,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0044,2018-09-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0035,2018-10-01,0,31,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0036,2018-10-01,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0071,2018-10-24,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0041,2018-11-08,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0052,2018-10-14,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0072,2019-03-21,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0073,2018-11-29,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0042,2018-12-12,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0061,2019-01-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0043,2019-01-02,0,36,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0044,2019-01-13,0,38,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0075,2019-03-06,0,23,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0077,2019-01-23,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0078,2019-02-03,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0063,2019-02-01,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0065,2019-03-04,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0067,2019-03-25,,,,,,,,,,,,,,,,,,
AMEX-0068,2019-03-25,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0069,2019-04-11,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0071,2019-05-05,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0086,2019-05-19,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0073,2019-07-01,,,,,,,,,,,,,,,,,,
DB-0049,2019-07-15,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0088,2019-07-24,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0089,2019-07-29,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0090,2019-07-29,0,29,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0051,2019-08-06,0,31,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0075,2019-08-15,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,
AMEX-0077,2019-08-15,,,,,,,,,,,,,,,,,,
UDC-0096,2019-08-28,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
DB-0052,2019-09-09,0,38,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0053,2019-09-09,0,40,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0055,2019-10-02,0,34,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0057,2019-10-09,0,31,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0098,2019-10-06,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0100,2019-10-20,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
UDC-0101,2019-10-31,0,21,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
DB-0060,2019-11-13,0,34,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
AMEX-0087,2019-12-04,0,30,Annual Leave,0,3,Casual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,0,50,Maternity Leave
HCG-0018,2019-12-26,0,30,Annual Leave,0,14,Sick Leave,0,3,Casual Leave,0,0,Absent,0,0,Emergency Leave,,,
UDC-0113,2020-02-02,,,,,,,,,,,,,,,,,,
MP-0001,2020-02-19,,,,,,,,,,,,,,,,,,
AMEX-0092,2020-03-02,,,,,,,,,,,,,,,,,,
UDC-0114,2020-03-08,0,21,Annual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,,,,
UDC-0115,2020-03-11,0,21,Annual Leave,0,14,Sick Leave,0,0,Absent,0,0,Emergency Leave,,,,,,
AMEX-0093,2020-03-18,,,,,,,,,,,,,,,,,,
UDC-0117,2020-07-04,,,,,,,,,,,,,,,,,,
MP-0003,2020-07-02,,,,,,,,,,,,,,,,,,
MP-0004,2020-07-08,,,,,,,,,,,,,,,,,,
MP-0005,2020-07-16,,,,,,,,,,,,,,,,,,
MP-0006,2020-07-16,,,,,,,,,,,,,,,,,,
MP-0007,2020-07-19,,,,,,,,,,,,,,,,,,
MP-0008,2020-07-22,,,,,,,,,,,,,,,,,,
UDC-0121,2020-08-09,,,,,,,,,,,,,,,,,,
UDC-0122,2020-08-09,,,,,,,,,,,,,,,,,,
AMEX-0096,2020-07-26,,,,,,,,,,,,,,,,,,
AMEX-0097,2020-07-26,,,,,,,,,,,,,,,,,,
AMEX-0098,2020-07-26,,,,,,,,,,,,,,,,,,
MTM-0011,2020-08-01,,,,,,,,,,,,,,,,,,
MTM-0012,2020-08-15,,,,,,,,,,,,,,,,,,
MTM-0013,2020-08-15,,,,,,,,,,,,,,,,,,
MTM-0014,2020-08-15,,,,,,,,,,,,,,,,,,
UDC-0124,2020-09-15,,,,,,,,,,,,,,,,,,
UDC-0125,2020-09-23,,,,,,,,,,,,,,,,,,
UDC-0126,2020-09-27,,,,,,,,,,,,,,,,,,
UDC-0128,2020-09-28,,,,,,,,,,,,,,,,,,
UDC-0129,2020-10-01,,,,,,,,,,,,,,,,,,
UDC-0130,2020-10-06,,,,,,,,,,,,,,,,,,
UDC-0131,2020-10-14,,,,,,,,,,,,,,,,,,
UDC-0132,2020-10-18,,,,,,,,,,,,,,,,,,
UDC-0133,2020-10-18,,,,,,,,,,,,,,,,,,
AMEX-0099,2020-10-18,,,,,,,,,,,,,,,,,,
AMEX-0100,2020-10-18,,,,,,,,,,,,,,,,,,
HCG-0023,2020-10-24,,,,,,,,,,,,,,,,,,
UDC-0134,2020-10-25,,,,,,,,,,,,,,,,,,
UDC-0135,2020-10-25,,,,,,,,,,,,,,,,,,
HCG-0024,2020-10-25,,,,,,,,,,,,,,,,,,
AMEX-0101,2020-10-27,,,,,,,,,,,,,,,,,,
AMEX-0102,2020-11-02,,,,,,,,,,,,,,,,,,
UDC-0137,2020-11-15,,,,,,,,,,,,,,,,,,
HCG-0025,2020-11-16,,,,,,,,,,,,,,,,,,
UDC-0139,2020-11-24,,,,,,,,,,,,,,,,,,
UDC-0140,2020-11-29,,,,,,,,,,,,,,,,,,
UDC-0141,2020-12-14,,,,,,,,,,,,,,,,,,
UDC-0142,2020-12-20,,,,,,,,,,,,,,,,,,
UDC-0143,2020-12-30,,,,,,,,,,,,,,,,,,
HCG-0026,2020-12-27,,,,,,,,,,,,,,,,,,
UDC-0144,2021-01-13,,,,,,,,,,,,,,,,,,
UDC-0145,2021-01-19,,,,,,,,,,,,,,,,,,