Name,Department Code
HCG0349,UDC-0144
HCG0348,UDC-0143
HCG0347,HCG-0026
HCG0346,UDC-0142
HCG0345,UDC-0141
HCG0344,UDC-0140
HCG0343,UDC-0139
HCG0341,HCG-0025
HCG0340,UDC-0137
HCG0339,AMEX-0102
HCG0337,AMEX-0101
HCG0336,HCG-0024
HCG0335,UDC-0135
HCG0334,UDC-0134
HCG0333,HCG-0023
HCG0331,AMEX-0100
HCG0330,AMEX-0099
HCG0329,UDC-0133
HCG0328,UDC-0132
HCG0327,UDC-0131
HCG0326,UDC-0130
HCG0325,UDC-0129
HCG0324,UDC-0128
HCG0322,UDC-0126
HCG0321,UDC-0125
HCG0320,UDC-0124
HCG0318,MTM-0014
HCG0317,MTM-0013
HCG0316,MTM-0012
HCG0315,UDC-0122
HCG0314,UDC-0121
HCG0313,MTM-0011
HCG0312,AMEX-0098
HCG0311,AMEX-0097
HCG0310,AMEX-0096
HCG0307,MP-0008
HCG0306,MP-0007
HCG0305,MP-0006
HCG0304,MP-0005
HCG0302,MP-0004
HCG0301,UDC-0117
HCG0300,MP-0003
HCG0296,AMEX-0093
HCG0295,UDC-0115
HCG0294,UDC-0114
HCG0292,AMEX-0092
HCG0290,MP-0001
HCG0287,UDC-0113
HCG0284,HCG-0018
HCG0278,AMEX-0087
HCG0275,DB-0060
HCG0265,UDC-0101
HCG0264,UDC-0100
HCG0259,DB-0057
HCG0258,UDC-0098
HCG0256,DB-0055
HCG0254,DB-0053
HCG0253,DB-0052
HCG0247,UDC-0096
HCG0242,AMEX-0077
HCG0240,AMEX-0075
HCG0239,DB-0051
HCG0235,UDC-0090
HCG0234,UDC-0089
HCG0233,UDC-0088
HCG0232,DB-0049
HCG0230,AMEX-0073
HCG0227,UDC-0086
HCG0225,AMEX-0071
HCG0222,AMEX-0069
HCG0217,AMEX-0068
HCG0216,AMEX-0067
HCG0214,UDC-0072
HCG0211,UDC-0075
HCG0209,AMEX-0065
HCG0206,UDC-0078
HCG0205,AMEX-0063
HCG0203,UDC-0077
HCG0201,DB-0044
HCG0200,DB-0043
HCG0199,AMEX-0061
HCG0197,DB-0042
HCG0194,UDC-0073
HCG0193,DB-0041
HCG0185,UDC-0071
HCG0184,AMEX-0052
HCG0175,DB-0036
HCG0174,DB-0035
HCG0170,DB-0034
HCG0167,DB-0032
HCG0165,DB-0030
HCG0164,AMEX-0042
HCG0163,UDC-0068
HCG0161,DB-0029
HCG0159,AMEX-0044
HCG0157,UDC-0066
HCG0155,AMEX-0038
HCG0151,UDC-0065
HCG0149,HCG-0015
HCG0148,UDC-0063
HCG0147,UDC-0062
HCG0139,AMEX-0035
HCG0136,HCG-0013
HCG0134,UDC-0056
HCG0130,HCG-0011
HCG0129,AMEX-0034
HCG0120,UDC-0049
HCG0119,UDC-0048
HCG0113,AMEX-0024
HCG0111,UDC-0036
HCG0110,UDC-0035
HCG0109,UDC-0031
HCG0101,DB-0023
HCG0100,UDC-0033
HCG0096,DB-0020
HCG0094,DB-0019
HCG0093,DB-0018
HCG0090,DB-0015
HCG0089,DB-0014
HCG0081,DB-0012
HCG0074,UDC-0027
HCG0069,HCG-0006
HCG0062,AMEX-0019
HCG0061,UDC-0014
HCG0058,DB-0001
HCG0056,UDC-0026
HCG0055,UDC-0017
HCG0054,UDC-0016
HCG0053,UDC-0013
HCG0052,DB-0005
HCG0051,UDC-0012
HCG0050,UDC-0011
HCG0049,UDC-0010
HCG0046,UDC-0008
HCG0044,UDC-0021
HCG0042,UDC-0019
HCG0041,UDC-0007
HCG0037,UDC-0003
HCG0035,UDC-0001
HCG0034,UDC-0024
HCG0026,HCG-0007
HCG0025,HCG-0002
HCG0024,AMEX-0016
HCG0023,AMEX-0015
HCG0021,AMEX-0013
HCG0020,MTM-0002
HCG0017,BP-0001
HCG0016,AMEX-0018
HCG0015,PAT-0001
HCG0013,AMEX-0012
HCG0012,AMEX-0017
HCG0011,AMEX-0011
HCG0010,AMEX-0010
HCG0006,AMEX-0008
HCG0003,AMEX-0006
HCG0002,AMEX-0004